#OTU ID	Windermere_01	Windermere_02	Windermere_03	Windermere_04	Windermere_05	Windermere_06	Windermere_07	Windermere_08	Windermere_09	Windermere_10	Windermere_11-0m	Windermere_11-10m	Windermere_11-20m	Windermere_11-30m	Windermere_11-40m	Windermere_11-50m	Windermere_11-60m	Windermere_12	Windermere_13	Windermere_14	Windermere_15	Windermere_16	Windermere_17	Windermere_18	Windermere_19	Windermere_20	Windermere_21	Windermere_22	Windermere_23	Windermere_24	Windermere_25	Windermere_26	Windermere_27	Windermere_28-0m	Windermere_28-10m	Windermere_28-20m	Windermere_28-30m	Windermere_28-40m	Windermere_29	Windermere_30	Windermere_31	Windermere_32	Windermere_34	Windermere_35	Windermere_36	Windermere_37	Windermere_38	Windermere_39	Windermere_40	Windermere_41	Windermere_44	Windermere_45	Windermere_46	Windermere_47	Windermere_48	Windermere_49	Windermere_50	taxomomy
Anguilla_anguilla	0.0	0.0	7.0	0.0	0.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	16.0	0.0	1.0	0.0	69.0	5.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Anguilliformes', 'f__Anguillidae', 'g__Anguilla', 's__Anguilla_anguilla']
Abramis_brama	18.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	171.0	4.0	8.0	12.0	36.0	2.0	0.0	10.0	20.0	11.0	52.0	83.0	0.0	18.0	0.0	24.0	72.0	1.0	1.0	0.0	0.0	40.0	41.0	12.0	0.0	23.0	12.0	12.0	0.0	0.0	0.0	1.0	0.0	34.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Abramis', 's__Abramis_brama']
Phoxinus_phoxinus	0.0	4.0	3.0	0.0	0.0	1.0	5.0	9.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Phoxinus', 's__Phoxinus_phoxinus']
Pseudorasbora_parva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	1.0	0.0	0.0	0.0	0.0	1.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Pseudorasbora', 's__Pseudorasbora_parva']
Rutilus_rutilus	6.0	0.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	32.0	20.0	4.0	0.0	3.0	15.0	1.0	2.0	0.0	15.0	6.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	10.0	1.0	7.0	0.0	2.0	7.0	9.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rutilus', 's__Rutilus_rutilus']
Barbatula_barbatula	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Nemacheilidae', 'g__Barbatula', 's__Barbatula_barbatula']
Esox_lucius	0.0	0.0	3.0	10.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	22.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Esocidae', 'g__Esox', 's__Esox_lucius']
Gasterosteus_aculeatus	6.0	9.0	0.0	2.0	0.0	4.0	0.0	14.0	10.0	1.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Gasterosteus', 's__Gasterosteus_aculeatus']
Perca_fluviatilis	94.0	0.0	30.0	30.0	16.0	24.0	11.0	41.0	1.0	0.0	39.0	15.0	94.0	38.0	0.0	12.0	0.0	17.0	17.0	5.0	107.0	68.0	47.0	10.0	12.0	93.0	14.0	14.0	26.0	187.0	84.0	25.0	61.0	51.0	93.0	39.0	0.0	78.0	1.0	40.0	93.0	35.0	126.0	111.0	18.0	15.0	9.0	16.0	22.0	10.0	21.0	0.0	41.0	1.0	3.0	24.0	191.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae', 'g__Perca', 's__Perca_fluviatilis']
Platichthys_flesus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Pleuronectiformes', 'f__Pleuronectidae', 'g__Platichthys', 's__Platichthys_flesus']
Salmo_salar	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_salar']
Salmo_trutta	10.0	11.0	4.0	15.0	14.0	2.0	0.0	12.0	0.0	3.0	2.0	16.0	0.0	0.0	0.0	13.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	14.0	0.0	10.0	6.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	1.0	0.0	0.0	8.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_trutta']
Salvelinus_alpinus	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salvelinus', 's__Salvelinus_alpinus']
Cyprinidae	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae']
Percidae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae']
Salmonidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae']
Esociformes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes']
Perciformes	0.0	14.0	6.0	0.0	20.0	14.0	3.0	19.0	26.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	19.0	0.0	0.0	0.0	0.0	11.0	3.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes']
Actinopteri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri']
unassigned	168.0	400.0	65.0	118.0	177.0	132.0	11.0	145.0	233.0	354.0	321.0	236.0	274.0	20.0	388.0	311.0	101.0	226.0	266.0	237.0	66.0	153.0	93.0	225.0	77.0	160.0	128.0	68.0	176.0	91.0	174.0	153.0	175.0	111.0	179.0	178.0	195.0	117.0	256.0	157.0	128.0	230.0	133.0	104.0	87.0	80.0	200.0	137.0	145.0	128.0	166.0	173.0	137.0	21.0	210.0	109.0	145.0	['__unassigned']
